order_id,product_id,supplier_id,warehouse_id,order_date,delivery_date,quantity,order_status,stock_level
O00029,P198,S035,W06,2024-01-25,2024-01-27,183,Delivered,388
O00030,P048,S015,W04,2024-01-12,2024-01-17,248,Delayed,903
O00031,P156,S030,W06,2024-09-16,2024-09-24,277,Delivered,588
O00032,P112,S018,W01,2024-03-27,2024-04-04,214,Delivered,828
O00033,P173,S039,W01,2024-01-07,2024-01-08,293,Delivered,785
O00034,P056,S005,W06,2024-07-27,2024-08-01,433,Delivered,914
O00035,P147,S037,W06,2024-04-29,2024-05-05,380,Delayed,626
O00036,P161,S019,W02,2024-10-11,2024-10-20,447,Cancelled,182
O00037,P011,S044,W06,2024-09-27,2024-09-30,354,Delivered,95
O00038,P199,S033,W05,2024-06-06,2024-06-07,370,Delivered,714
O00039,P139,S036,W04,2024-06-02,2024-06-09,25,Delivered,978
O00040,P048,S047,W03,2024-08-14,2024-08-18,465,Delivered,951
O00041,P067,S044,W05,2024-09-16,2024-09-23,146,Delivered,532
O00042,P167,S012,W05,2024-04-29,2024-05-06,149,Delivered,544
O00043,P039,S033,W02,2024-06-26,2024-06-29,388,Delivered,690
O00044,P073,S047,W05,2024-03-02,2024-03-07,174,Delivered,389
O00045,P128,S048,W02,2024-01-12,2024-01-17,60,Delivered,435
O00046,P163,S001,W04,2024-11-16,2024-11-21,424,Delivered,636
O00047,P034,S031,W06,2024-11-28,2024-11-30,327,Cancelled,81
O00048,P166,S033,W04,2024-05-09,2024-05-18,487,Cancelled,587
O00049,P194,S023,W06,2024-09-16,2024-09-20,331,Delivered,501
O00050,P025,S022,W06,2024-03-04,2024-03-13,266,Delivered,728
O00051,P158,S007,W01,2024-06-02,2024-06-04,393,Cancelled,247
O00052,P141,S018,W06,2024-04-10,2024-04-17,164,Delivered,886
O00053,P139,S004,W03,2024-07-27,2024-08-01,89,Cancelled,973
O00054,P146,S044,W05,2024-05-29,2024-06-03,385,Cancelled,773
O00055,P179,S021,W06,2024-04-24,2024-05-01,52,Delivered,879
O00056,P056,S026,W02,2024-04-08,2024-04-13,271,Delivered,383
O00057,P200,S046,W04,2024-03-06,2024-03-11,322,Delivered,24
O00058,P157,S037,W04,2024-04-08,2024-04-15,20,Delivered,794
O00059,P065,S039,W01,2024-01-23,2024-01-28,434,Delivered,225
O00060,P068,S043,W01,2024-12-10,2024-12-14,215,Delayed,85
O00061,P191,S014,W01,2024-01-27,2024-01-28,380,Delivered,964
O00062,P119,S030,W03,2024-12-22,2024-12-24,470,Delivered,86
O00063,P088,S049,W06,2024-09-23,2024-09-29,129,Delayed,169
O00064,P067,S001,W06,2024-07-22,2024-07-24,115,Delayed,639
O00065,P030,S011,W05,2024-06-07,2024-06-16,222,Delivered,172
O00066,P185,S021,W04,2024-01-18,2024-01-19,29,Delivered,948
O00067,P075,S028,W06,2024-12-05,2024-12-11,246,Delivered,198
O00068,P138,S038,W04,2024-01-31,2024-02-02,246,Delivered,968
O00069,P029,S044,W03,2024-03-05,2024-03-06,202,Delivered,797
O00070,P010,S049,W03,2024-07-24,2024-07-26,496,Delivered,842
O00071,P144,S003,W01,2024-03-28,2024-04-03,204,Delivered,897
O00072,P195,S046,W03,2024-12-09,2024-12-11,306,Delivered,831
O00073,P111,S036,W02,2024-07-13,2024-07-23,286,Delayed,607
O00074,P032,S007,W01,2024-01-08,2024-01-12,24,Cancelled,908
O00075,P067,S015,W05,2024-08-09,2024-08-19,264,Cancelled,293
O00076,P038,S006,W03,2024-08-04,2024-08-13,96,Delayed,802
O00077,P032,S024,W03,2024-10-24,2024-11-01,330,Delivered,758
O00078,P174,S031,W03,2024-10-12,2024-10-22,23,Delayed,315
O00079,P090,S043,W05,2024-07-13,2024-07-20,231,Delayed,974
O00080,P134,S009,W01,2024-09-15,2024-09-16,31,Delivered,555
O00081,P147,S043,W02,2024-05-16,2024-05-22,62,Delivered,41
O00082,P146,S009,W04,2024-11-15,2024-11-16,310,Delivered,252
O00083,P142,S015,W04,2024-12-08,2024-12-14,169,Delayed,896
O00084,P102,S047,W03,2024-12-29,2025-01-07,65,Cancelled,159
O00085,P105,S007,W03,2024-11-04,2024-11-11,212,Delivered,786
O00086,P188,S037,W01,2024-06-23,2024-06-29,265,Delivered,223
O00087,P152,S015,W03,2024-03-21,2024-03-28,245,Delivered,17
O00088,P064,S001,W05,2024-04-26,2024-05-02,23,Delivered,778
O00089,P073,S006,W02,2024-11-08,2024-11-14,315,Delivered,21
O00090,P060,S018,W04,2024-08-12,2024-08-13,314,Delivered,951
O00091,P096,S036,W03,2024-07-06,2024-07-15,46,Delivered,963
O00092,P042,S027,W06,2024-12-04,2024-12-06,312,Delivered,864
O00093,P146,S003,W02,2024-09-15,2024-09-21,74,Delayed,507
O00094,P130,S039,W05,2024-11-28,2024-12-03,216,Delivered,250
O00095,P139,S046,W04,2024-04-11,2024-04-13,352,Delayed,290
O00096,P053,S008,W05,2024-06-18,2024-06-25,248,Delivered,559
O00097,P114,S017,W05,2024-11-12,2024-11-21,256,Delivered,336
O00098,P140,S006,W01,2024-07-29,2024-08-01,221,Delivered,708
O00099,P124,S019,W02,2024-12-10,2024-12-17,297,Delivered,175
O00100,P101,S050,W02,2024-05-28,2024-05-30,44,Delivered,501
O00101,P101,S027,W04,2024-10-04,2024-10-09,116,Delivered,535
O00102,P021,S039,W03,2024-08-11,2024-08-17,341,Cancelled,920
O00103,P140,S009,W04,2024-04-28,2024-04-30,459,Delivered,630
O00104,P106,S010,W04,2024-04-27,2024-05-07,213,Delivered,115
O00105,P131,S015,W02,2024-08-15,2024-08-16,303,Cancelled,820
O00106,P101,S010,W05,2024-04-02,2024-04-09,436,Delivered,892
O00107,P088,S013,W04,2024-03-02,2024-03-05,351,Delivered,694
O00108,P175,S046,W06,2024-12-06,2024-12-11,427,Cancelled,27
O00109,P173,S033,W01,2024-09-12,2024-09-16,368,Delivered,207
O00110,P196,S004,W05,2024-01-21,2024-01-29,81,Delayed,785
O00111,P079,S009,W02,2024-05-17,2024-05-26,351,Cancelled,955
O00112,P101,S033,W04,2024-12-27,2024-12-31,336,Cancelled,427
O00113,P043,S029,W03,2024-06-25,2024-06-30,385,Delivered,763
O00114,P195,S042,W02,2024-05-30,2024-06-02,154,Delivered,845
O00115,P173,S013,W06,2024-12-26,2024-12-31,285,Cancelled,354
O00116,P101,S002,W04,2024-01-04,2024-01-10,492,Delivered,588
O00117,P026,S003,W02,2024-12-06,2024-12-12,403,Delivered,706
O00118,P159,S008,W06,2024-03-06,2024-03-15,285,Delivered,758
O00119,P001,S029,W05,2024-10-19,2024-10-26,91,Delivered,849
O00120,P144,S032,W02,2024-08-30,2024-09-07,173,Delivered,614
O00121,P085,S032,W05,2024-08-03,2024-08-12,230,Delivered,466
O00122,P183,S017,W06,2024-11-06,2024-11-08,448,Delivered,247
O00123,P066,S043,W04,2024-08-04,2024-08-05,284,Delayed,761
O00124,P165,S031,W03,2024-12-09,2024-12-17,66,Cancelled,291
O00125,P058,S025,W03,2024-03-28,2024-04-01,287,Delivered,705
O00126,P151,S045,W02,2024-11-21,2024-11-30,380,Delayed,168
O00127,P032,S008,W02,2024-02-06,2024-02-07,324,Delivered,292
O00128,P001,S021,W04,2024-03-03,2024-03-05,187,Delivered,559
O00129,P129,S030,W02,2024-02-24,2024-03-05,35,Delivered,63
O00130,P032,S037,W05,2024-08-20,2024-08-22,109,Delayed,672
O00131,P037,S037,W02,2024-01-07,2024-01-13,246,Delivered,958
O00132,P080,S021,W02,2024-09-07,2024-09-15,405,Delivered,165
O00133,P197,S023,W02,2024-09-27,2024-10-01,153,Delayed,693
O00134,P025,S005,W03,2024-05-31,2024-06-07,38,Delivered,352
O00135,P008,S007,W02,2024-07-12,2024-07-18,376,Delayed,62
O00136,P114,S019,W03,2024-08-18,2024-08-19,453,Delivered,517
O00137,P133,S005,W01,2024-02-07,2024-02-15,359,Delivered,478
O00138,P197,S041,W06,2024-08-31,2024-09-10,115,Cancelled,484
O00139,P025,S022,W04,2024-01-15,2024-01-23,231,Delivered,528
O00140,P164,S033,W02,2024-01-09,2024-01-17,27,Delivered,837
O00141,P113,S009,W03,2024-07-10,2024-07-18,122,Delivered,703
O00142,P177,S024,W03,2024-06-24,2024-06-25,76,Delivered,212
O00143,P139,S012,W03,2024-09-19,2024-09-27,34,Delivered,640
O00144,P029,S040,W04,2024-09-13,2024-09-22,353,Delivered,867
O00145,P189,S012,W03,2024-09-24,2024-09-29,492,Delivered,771
O00146,P111,S023,W05,2024-04-14,2024-04-20,252,Delivered,557
O00147,P197,S040,W05,2024-01-19,2024-01-20,397,Delivered,503
O00148,P052,S046,W02,2024-06-26,2024-06-27,334,Delivered,324
O00149,P112,S024,W03,2024-06-14,2024-06-16,10,Delivered,652
O00150,P103,S038,W02,2024-07-12,2024-07-21,373,Delivered,837
O00151,P154,S013,W04,2024-03-26,2024-04-03,105,Delivered,247
O00152,P130,S038,W04,2024-02-27,2024-03-01,50,Delayed,361
O00153,P048,S028,W06,2024-05-13,2024-05-15,456,Delivered,527
O00154,P190,S044,W03,2024-01-28,2024-01-31,287,Delivered,349
O00155,P115,S012,W01,2024-03-27,2024-03-30,81,Delivered,524
O00156,P186,S036,W04,2024-10-03,2024-10-09,399,Delivered,305
O00157,P017,S040,W01,2024-04-15,2024-04-16,200,Delivered,787
O00158,P128,S025,W02,2024-10-02,2024-10-05,400,Delayed,10
O00159,P186,S005,W05,2024-01-31,2024-02-06,354,Delivered,912
O00160,P176,S006,W02,2024-07-11,2024-07-15,385,Delayed,615
O00161,P019,S040,W03,2024-02-15,2024-02-21,483,Delivered,402
O00162,P158,S045,W04,2024-11-26,2024-11-29,301,Delivered,733
O00163,P074,S045,W06,2024-02-19,2024-02-29,12,Delivered,431
O00164,P029,S026,W02,2024-07-01,2024-07-05,408,Delivered,887
O00165,P035,S004,W02,2024-06-27,2024-07-04,94,Delivered,490
O00166,P040,S011,W02,2024-06-15,2024-06-23,162,Delayed,972
O00167,P095,S045,W01,2024-04-13,2024-04-22,476,Delayed,314
O00168,P112,S025,W02,2024-07-24,2024-08-01,31,Delivered,917
O00169,P138,S024,W02,2024-07-23,2024-07-28,166,Delivered,877
O00170,P200,S025,W02,2024-08-10,2024-08-12,171,Delivered,270
O00171,P027,S024,W01,2024-02-06,2024-02-13,438,Delivered,401
O00172,P185,S022,W04,2024-12-21,2024-12-25,19,Delivered,450
O00173,P129,S045,W04,2024-03-27,2024-04-02,45,Delivered,276
O00174,P154,S030,W03,2024-03-20,2024-03-27,44,Delivered,282
O00175,P147,S017,W04,2024-12-22,2024-12-25,180,Delivered,806
O00176,P010,S044,W06,2024-08-02,2024-08-10,275,Delayed,887
O00177,P032,S025,W05,2024-02-10,2024-02-15,447,Delivered,402
O00178,P071,S013,W06,2024-10-08,2024-10-10,419,Cancelled,485
O00179,P054,S020,W02,2024-03-05,2024-03-15,177,Delayed,97
O00180,P105,S048,W01,2024-11-19,2024-11-27,479,Delivered,571
O00181,P081,S036,W02,2024-04-20,2024-04-28,385,Delivered,704
O00182,P065,S035,W03,2024-06-25,2024-06-29,308,Cancelled,526
O00183,P018,S029,W06,2024-10-26,2024-11-04,328,Delayed,213
O00184,P102,S037,W04,2024-02-28,2024-03-09,153,Delivered,697
O00185,P094,S014,W03,2024-04-22,2024-04-23,353,Delivered,415
O00186,P137,S043,W01,2024-12-20,2024-12-25,48,Delivered,243
O00187,P112,S049,W02,2024-12-05,2024-12-09,345,Delivered,64
O00188,P088,S013,W04,2024-04-24,2024-05-02,91,Delayed,348
O00189,P105,S011,W06,2024-05-26,2024-05-31,316,Cancelled,630
O00190,P178,S036,W04,2024-10-23,2024-11-01,92,Delayed,393
O00191,P071,S026,W03,2024-08-11,2024-08-16,230,Delivered,501
O00192,P031,S006,W05,2024-03-26,2024-04-01,23,Delivered,853
O00193,P147,S042,W02,2024-03-07,2024-03-14,442,Delivered,538
O00194,P113,S024,W02,2024-04-05,2024-04-14,161,Delivered,465
O00195,P049,S009,W05,2024-05-08,2024-05-11,395,Delivered,387
O00196,P098,S032,W02,2024-07-06,2024-07-09,235,Delivered,238
O00197,P116,S010,W06,2024-07-08,2024-07-13,488,Delayed,264
O00198,P101,S041,W01,2024-05-20,2024-05-28,462,Delayed,843
O00199,P082,S008,W01,2024-04-23,2024-04-24,257,Delivered,18
O00200,P058,S039,W04,2024-11-08,2024-11-13,39,Delayed,144
O00201,P083,S008,W02,2024-06-04,2024-06-07,341,Delivered,556
O00202,P195,S036,W06,2024-01-02,2024-01-05,184,Delivered,706
O00203,P091,S011,W05,2024-05-26,2024-05-27,12,Delivered,790
O00204,P074,S028,W04,2024-01-12,2024-01-20,101,Delivered,134
O00205,P035,S042,W04,2024-09-18,2024-09-20,338,Delivered,878
O00206,P144,S003,W04,2024-09-04,2024-09-14,453,Delayed,867
O00207,P117,S043,W03,2024-06-28,2024-07-07,260,Delivered,290
O00208,P140,S039,W05,2024-01-11,2024-01-12,129,Delivered,980
O00209,P193,S042,W05,2024-04-21,2024-04-23,285,Delivered,754
O00210,P038,S041,W02,2024-02-16,2024-02-22,484,Delivered,604
O00211,P159,S018,W02,2024-02-12,2024-02-14,87,Delivered,120
O00212,P184,S005,W05,2024-10-05,2024-10-08,221,Delivered,224
O00213,P084,S043,W06,2024-06-09,2024-06-11,197,Delivered,935
O00214,P179,S029,W01,2024-04-09,2024-04-15,211,Delayed,446
O00215,P029,S018,W01,2024-08-18,2024-08-24,180,Delivered,184
O00216,P039,S007,W01,2024-02-05,2024-02-06,315,Delivered,928
O00217,P176,S048,W01,2024-02-17,2024-02-27,204,Delivered,284
O00218,P118,S006,W06,2024-11-13,2024-11-17,213,Delayed,581
O00219,P164,S003,W02,2024-12-29,2025-01-04,42,Delayed,251
O00220,P057,S011,W04,2024-06-25,2024-06-27,330,Delivered,381
O00221,P004,S002,W05,2024-12-14,2024-12-24,91,Cancelled,749
O00222,P076,S038,W01,2024-06-09,2024-06-17,455,Delivered,606
O00223,P101,S014,W04,2024-12-24,2024-12-30,302,Cancelled,106
O00224,P048,S012,W04,2024-07-16,2024-07-17,396,Delivered,665
O00225,P046,S030,W01,2024-11-12,2024-11-21,373,Delivered,813
O00226,P063,S044,W02,2024-01-03,2024-01-11,299,Delivered,248
O00227,P051,S045,W03,2024-09-29,2024-10-05,156,Delivered,941
O00228,P034,S031,W06,2024-04-01,2024-04-02,457,Delayed,326
O00229,P198,S013,W02,2024-09-03,2024-09-07,264,Delivered,336
O00230,P142,S034,W05,2024-02-13,2024-02-18,166,Delivered,930
O00231,P080,S050,W02,2024-05-28,2024-05-30,58,Delivered,761
O00232,P009,S020,W02,2024-03-25,2024-04-04,139,Delayed,166
O00233,P127,S043,W06,2024-11-25,2024-11-29,108,Delivered,934
O00234,P102,S027,W05,2024-04-22,2024-05-01,107,Delivered,385
O00235,P065,S038,W03,2024-01-13,2024-01-14,133,Cancelled,992
O00236,P029,S022,W06,2024-12-14,2024-12-22,286,Delivered,443
O00237,P176,S040,W04,2024-10-11,2024-10-18,324,Delivered,234
O00238,P111,S008,W02,2024-07-28,2024-08-02,307,Delayed,788
O00239,P191,S017,W01,2024-08-28,2024-09-07,77,Delayed,384
O00240,P131,S029,W03,2024-04-15,2024-04-24,35,Delivered,231
O00241,P195,S030,W05,2024-05-04,2024-05-06,231,Cancelled,713
O00242,P183,S048,W03,2024-03-02,2024-03-04,338,Delivered,239
O00243,P128,S030,W03,2024-09-15,2024-09-20,202,Delivered,923
O00244,P010,S033,W01,2024-09-19,2024-09-24,414,Delivered,606
O00245,P118,S010,W01,2024-12-26,2024-12-31,388,Delayed,851
O00246,P105,S025,W03,2024-11-20,2024-11-22,23,Delivered,123
O00247,P093,S044,W02,2024-11-04,2024-11-12,190,Cancelled,357
O00248,P075,S033,W01,2024-02-16,2024-02-21,242,Delivered,469
O00249,P046,S002,W04,2024-08-06,2024-08-09,114,Cancelled,312
O00250,P009,S042,W03,2024-04-06,2024-04-13,463,Delivered,84
O00251,P100,S028,W05,2024-05-07,2024-05-13,487,Delivered,868
O00252,P028,S036,W01,2024-02-09,2024-02-16,67,Delayed,390
O00253,P115,S016,W02,2024-12-16,2024-12-19,154,Delivered,639
O00254,P157,S009,W03,2024-07-28,2024-07-31,329,Delivered,137
O00255,P121,S022,W02,2024-09-01,2024-09-04,384,Delivered,721
O00256,P047,S031,W06,2024-05-06,2024-05-13,39,Delivered,628
O00257,P107,S020,W05,2024-04-27,2024-04-28,307,Delivered,493
O00258,P026,S044,W01,2024-06-01,2024-06-10,444,Delivered,515
O00259,P071,S028,W01,2024-09-11,2024-09-13,107,Delivered,791
O00260,P066,S026,W01,2024-12-17,2024-12-23,147,Delivered,404
O00261,P026,S020,W05,2024-11-30,2024-12-05,118,Delivered,925
O00262,P185,S017,W01,2024-12-30,2025-01-02,300,Delivered,400
O00263,P070,S044,W02,2024-02-13,2024-02-14,198,Delivered,962
O00264,P174,S028,W04,2024-04-07,2024-04-08,344,Delayed,590
O00265,P104,S003,W05,2024-01-31,2024-02-09,61,Delayed,76
O00266,P049,S007,W05,2024-08-16,2024-08-19,168,Delivered,84
O00267,P026,S044,W05,2024-03-07,2024-03-09,270,Delivered,298
O00268,P170,S018,W02,2024-04-12,2024-04-17,236,Delivered,400
O00269,P010,S002,W05,2024-11-10,2024-11-19,123,Delayed,335
O00270,P197,S011,W03,2024-09-03,2024-09-11,228,Delayed,576
O00271,P169,S037,W01,2024-12-15,2024-12-18,239,Delayed,856
O00272,P119,S048,W02,2024-10-05,2024-10-06,500,Delivered,203
O00273,P110,S029,W04,2024-03-28,2024-04-01,120,Delivered,106
O00274,P100,S050,W04,2024-05-26,2024-06-01,478,Delivered,804
O00275,P088,S007,W04,2024-04-05,2024-04-11,255,Delivered,245
O00276,P196,S026,W02,2024-06-23,2024-06-24,177,Delivered,602
O00277,P184,S050,W01,2024-02-05,2024-02-09,146,Delivered,530
O00278,P187,S007,W03,2024-06-04,2024-06-05,435,Delivered,985
O00279,P170,S019,W06,2024-06-03,2024-06-09,355,Delivered,694
O00280,P039,S005,W06,2024-11-07,2024-11-10,401,Delayed,586
O00281,P139,S010,W01,2024-01-05,2024-01-12,377,Cancelled,852
O00282,P163,S033,W04,2024-07-26,2024-08-02,310,Cancelled,31
O00283,P004,S034,W01,2024-10-13,2024-10-18,38,Delivered,953
O00284,P056,S028,W01,2024-02-02,2024-02-12,92,Delivered,5
O00285,P039,S006,W02,2024-08-02,2024-08-05,442,Delayed,756
O00286,P096,S030,W02,2024-01-09,2024-01-13,178,Delivered,157
O00287,P112,S047,W03,2024-01-08,2024-01-12,335,Delayed,103
O00288,P186,S020,W03,2024-08-10,2024-08-15,365,Delivered,638
O00289,P034,S041,W04,2024-12-31,2025-01-03,330,Cancelled,998
O00290,P083,S048,W01,2024-01-17,2024-01-18,234,Delivered,619
O00291,P187,S017,W06,2024-11-27,2024-12-05,187,Delayed,436
O00292,P102,S041,W01,2024-08-26,2024-08-29,337,Delivered,440
O00293,P040,S042,W05,2024-10-17,2024-10-25,190,Delivered,442
O00294,P198,S042,W04,2024-08-19,2024-08-23,35,Delayed,900
O00295,P124,S035,W02,2024-05-04,2024-05-07,37,Delivered,218
O00296,P133,S001,W06,2024-11-17,2024-11-22,278,Delivered,70
O00297,P142,S050,W06,2024-12-20,2024-12-21,367,Delivered,144
O00298,P046,S020,W04,2024-10-27,2024-10-28,38,Delivered,719
O00299,P198,S047,W05,2024-10-26,2024-11-02,324,Delivered,439
O00300,P112,S010,W05,2024-02-21,2024-02-28,235,Delayed,317
O00301,P167,S019,W04,2024-09-29,2024-10-01,455,Delivered,111
O00302,P040,S050,W04,2024-11-07,2024-11-08,327,Delivered,844
O00303,P135,S016,W03,2024-11-25,2024-12-03,199,Delayed,845
O00304,P057,S021,W05,2024-02-09,2024-02-14,193,Delivered,904
O00305,P178,S044,W03,2024-04-29,2024-05-03,92,Delivered,693
O00306,P164,S044,W02,2024-11-05,2024-11-14,249,Delivered,218
O00307,P178,S024,W02,2024-08-10,2024-08-19,89,Delivered,814
O00308,P062,S011,W06,2024-01-22,2024-01-28,459,Delivered,419
O00309,P160,S049,W01,2024-03-25,2024-03-26,246,Delivered,293
O00310,P078,S004,W01,2024-03-28,2024-03-29,497,Delivered,64
O00311,P110,S026,W02,2024-02-20,2024-02-21,383,Delayed,880
O00312,P057,S020,W05,2024-12-24,2024-12-26,57,Delivered,908
O00313,P022,S015,W05,2024-05-27,2024-06-02,217,Delivered,889
O00314,P126,S001,W06,2024-02-28,2024-02-29,132,Delayed,168
O00315,P045,S028,W04,2024-07-20,2024-07-25,197,Delivered,803
O00316,P035,S010,W05,2024-12-30,2025-01-01,54,Delivered,655
O00317,P101,S009,W05,2024-04-05,2024-04-11,262,Delivered,831
O00318,P108,S033,W05,2024-04-27,2024-04-29,134,Delivered,456
O00319,P181,S043,W05,2024-08-04,2024-08-07,273,Delivered,704
O00320,P139,S002,W03,2024-12-05,2024-12-09,175,Delivered,706
O00321,P107,S003,W01,2024-11-25,2024-11-28,427,Delivered,166
O00322,P031,S036,W01,2024-01-19,2024-01-26,238,Delivered,834
O00323,P074,S042,W01,2024-03-01,2024-03-07,427,Delivered,588
O00324,P041,S003,W01,2024-12-03,2024-12-12,339,Delivered,71
O00325,P091,S001,W02,2024-04-08,2024-04-10,274,Cancelled,472
O00326,P012,S019,W03,2024-01-22,2024-02-01,246,Delivered,635
O00327,P083,S012,W03,2024-11-29,2024-12-04,490,Delayed,352
O00328,P043,S033,W05,2024-02-07,2024-02-14,319,Delivered,498
O00329,P097,S017,W04,2024-12-03,2024-12-11,251,Delivered,769
O00330,P077,S011,W03,2024-08-24,2024-08-31,343,Delivered,377
O00331,P083,S011,W05,2024-06-27,2024-07-05,180,Delayed,598
O00332,P051,S048,W03,2024-05-28,2024-05-29,11,Delayed,81
O00333,P146,S005,W06,2024-08-06,2024-08-14,365,Delivered,17
O00334,P037,S030,W01,2024-04-23,2024-04-24,353,Delivered,518
O00335,P091,S034,W06,2024-10-04,2024-10-05,45,Delayed,409
O00336,P167,S049,W03,2024-08-02,2024-08-05,465,Delayed,999
O00337,P065,S007,W05,2024-10-10,2024-10-20,393,Cancelled,527
O00338,P128,S025,W05,2024-06-21,2024-07-01,270,Delivered,720
O00339,P067,S048,W01,2024-02-18,2024-02-24,387,Delivered,695
O00340,P139,S048,W01,2024-11-16,2024-11-23,228,Delivered,54
O00341,P006,S037,W03,2024-11-01,2024-11-07,318,Delivered,639
O00342,P013,S005,W03,2024-05-07,2024-05-14,254,Delivered,529
O00343,P028,S029,W05,2024-07-02,2024-07-10,184,Delivered,190
O00344,P082,S049,W05,2024-09-15,2024-09-17,18,Delivered,896
O00345,P084,S018,W05,2024-10-14,2024-10-21,317,Delivered,521
O00346,P032,S049,W03,2024-02-12,2024-02-14,424,Cancelled,795
O00347,P051,S038,W02,2024-06-28,2024-06-30,485,Delayed,222
O00348,P178,S043,W02,2024-12-10,2024-12-18,174,Delivered,549
O00349,P036,S009,W01,2024-05-04,2024-05-10,143,Delivered,561
O00350,P043,S015,W01,2024-09-11,2024-09-20,419,Delivered,451
O00351,P189,S042,W04,2024-01-17,2024-01-20,236,Delivered,18
O00352,P118,S027,W06,2024-10-25,2024-10-26,386,Delayed,339
O00353,P195,S034,W05,2024-10-03,2024-10-12,10,Delivered,829
O00354,P172,S009,W04,2024-02-17,2024-02-22,24,Delivered,1000
O00355,P060,S021,W04,2024-05-29,2024-05-31,344,Delivered,473
O00356,P083,S001,W06,2024-03-23,2024-03-24,10,Delivered,336
O00357,P147,S002,W02,2024-11-03,2024-11-04,409,Delivered,548
O00358,P067,S011,W05,2024-03-17,2024-03-23,261,Delivered,138
O00359,P077,S007,W04,2024-09-03,2024-09-04,471,Delivered,147
O00360,P058,S040,W01,2024-07-16,2024-07-21,258,Delivered,150
O00361,P149,S038,W03,2024-09-05,2024-09-08,25,Delivered,459
O00362,P069,S033,W03,2024-11-27,2024-12-06,232,Delivered,813
O00363,P036,S042,W01,2024-10-16,2024-10-20,197,Cancelled,16
O00364,P030,S042,W03,2024-06-15,2024-06-24,332,Delivered,177
O00365,P122,S010,W01,2024-05-21,2024-05-29,323,Delivered,423
O00366,P107,S008,W02,2024-07-28,2024-08-03,269,Delivered,975
O00367,P198,S001,W04,2024-04-03,2024-04-04,319,Delivered,881
O00368,P016,S001,W04,2024-12-26,2024-12-31,105,Cancelled,157
O00369,P097,S026,W02,2024-10-18,2024-10-21,479,Delivered,429
O00370,P117,S022,W01,2024-07-18,2024-07-27,114,Cancelled,968
O00371,P187,S011,W06,2024-10-04,2024-10-09,245,Delivered,1
O00372,P190,S044,W03,2024-10-06,2024-10-13,244,Delivered,577
O00373,P118,S033,W01,2024-09-06,2024-09-12,401,Delivered,416
O00374,P109,S031,W03,2024-02-03,2024-02-12,129,Delayed,245
O00375,P037,S013,W05,2024-08-06,2024-08-07,276,Delayed,719
O00376,P005,S018,W05,2024-06-09,2024-06-12,367,Delivered,506
O00377,P122,S019,W02,2024-01-28,2024-02-02,84,Delayed,253
O00378,P121,S020,W02,2024-02-05,2024-02-09,249,Delivered,133
O00379,P173,S004,W05,2024-09-25,2024-09-27,106,Delivered,810
O00380,P048,S040,W03,2024-10-29,2024-11-04,190,Delayed,285
O00381,P094,S018,W02,2024-10-26,2024-10-27,438,Delivered,775
O00382,P147,S009,W06,2024-07-11,2024-07-12,123,Delivered,714
O00383,P182,S050,W06,2024-07-22,2024-07-24,38,Delayed,562
O00384,P144,S015,W06,2024-02-29,2024-03-10,470,Delivered,47
O00385,P092,S039,W06,2024-05-13,2024-05-14,135,Delayed,870
