product_id,product_name,category,unit_price
P079,Product_79,Furniture,3850.2
P080,Product_80,Electronics,2986.27
P081,Product_81,Clothing,2035.0
P082,Product_82,Clothing,857.37
P083,Product_83,Clothing,4893.53
P084,Product_84,Grocery,2183.81
P085,Product_85,Clothing,375.29
P086,Product_86,Medicine,1660.3
P087,Product_87,Clothing,2065.65
P088,Product_88,Electronics,3442.46
P089,Product_89,Clothing,260.57
P090,Product_90,Medicine,3847.04
P091,Product_91,Electronics,1502.45
P092,Product_92,Grocery,1826.16
P093,Product_93,Grocery,578.49
P094,Product_94,Furniture,1133.29
P095,Product_95,Furniture,4284.39
P096,Product_96,Clothing,3677.02
P097,Product_97,Medicine,3145.13
P098,Product_98,Furniture,508.23
P099,Product_99,Medicine,3830.84
P100,Product_100,Furniture,825.95
P101,Product_101,Electronics,1286.8
P102,Product_102,Medicine,3883.07
P103,Product_103,Grocery,839.85
P104,Product_104,Grocery,1047.56
P105,Product_105,Medicine,3409.33
P106,Product_106,Grocery,768.88
P107,Product_107,Electronics,1069.08
P108,Product_108,Furniture,3280.94
P109,Product_109,Furniture,2892.31
P110,Product_110,Furniture,399.44
P111,Product_111,Electronics,2772.54
P112,Product_112,Clothing,1968.38
P113,Product_113,Medicine,557.45
P114,Product_114,Furniture,656.33
P115,Product_115,Grocery,1492.13
P116,Product_116,Medicine,1297.43
P117,Product_117,Medicine,2292.19
P118,Product_118,Grocery,1247.23
P119,Product_119,Medicine,4145.97
P120,Product_120,Grocery,4672.68
P121,Product_121,Medicine,1997.56
P122,Product_122,Grocery,4521.84
P123,Product_123,Furniture,2264.22
P124,Product_124,Electronics,1236.54
P125,Product_125,Electronics,1511.26
P126,Product_126,Grocery,2112.1
P127,Product_127,Grocery,1973.59
P128,Product_128,Grocery,3677.7
P129,Product_129,Medicine,837.71
P130,Product_130,Clothing,4865.65
P131,Product_131,Clothing,2054.21
P132,Product_132,Electronics,3894.72
P133,Product_133,Electronics,3175.66
P134,Product_134,Clothing,845.87
P135,Product_135,Electronics,1864.13
P136,Product_136,Grocery,451.96
P137,Product_137,Electronics,3584.33
P138,Product_138,Grocery,4885.25
P139,Product_139,Electronics,1562.61
P140,Product_140,Grocery,2091.23
P141,Product_141,Grocery,2586.32
P142,Product_142,Furniture,2333.49
P143,Product_143,Furniture,3019.07
P144,Product_144,Clothing,4137.14
P145,Product_145,Electronics,4024.92
P146,Product_146,Electronics,3364.56
P147,Product_147,Medicine,698.27
P148,Product_148,Electronics,3761.96
P149,Product_149,Furniture,4519.45
P150,Product_150,Grocery,831.73
P151,Product_151,Clothing,2056.19
P152,Product_152,Furniture,168.67
P153,Product_153,Clothing,4111.43
P154,Product_154,Furniture,3676.35
P155,Product_155,Grocery,4272.52
P156,Product_156,Clothing,4335.09
P157,Product_157,Medicine,2312.28
P158,Product_158,Clothing,3866.11
P159,Product_159,Electronics,4990.37
P160,Product_160,Furniture,2228.88
P161,Product_161,Clothing,3300.77
P162,Product_162,Electronics,1834.19
P163,Product_163,Electronics,3828.26
P164,Product_164,Furniture,4449.22
P165,Product_165,Clothing,801.21
P166,Product_166,Clothing,3095.41
P167,Product_167,Grocery,2439.21
P168,Product_168,Furniture,468.37
P169,Product_169,Furniture,4305.6
P170,Product_170,Electronics,2256.11
P171,Product_171,Furniture,2504.59
P172,Product_172,Clothing,4958.97
P173,Product_173,Clothing,2127.39
P174,Product_174,Electronics,3733.1
P175,Product_175,Medicine,2101.08
P176,Product_176,Electronics,1257.85
P177,Product_177,Medicine,3845.39
P178,Product_178,Furniture,799.37
P179,Product_179,Clothing,3682.53
P180,Product_180,Furniture,1153.76
P181,Product_181,Electronics,3270.88
P182,Product_182,Electronics,2755.77
P183,Product_183,Grocery,164.37
P184,Product_184,Electronics,3635.91
P185,Product_185,Grocery,3457.96
P186,Product_186,Clothing,3408.98
P187,Product_187,Electronics,262.12
P188,Product_188,Grocery,4129.68
P189,Product_189,Electronics,1153.18
P190,Product_190,Electronics,2738.37
P191,Product_191,Furniture,4060.49
P192,Product_192,Clothing,669.94
P193,Product_193,Grocery,3656.96
P194,Product_194,Electronics,481.21
P195,Product_195,Grocery,4530.49
P196,Product_196,Grocery,4449.32
P197,Product_197,Electronics,2803.97
P198,Product_198,Furniture,2785.81
P199,Product_199,Furniture,967.27
P200,Product_200,Clothing,1802.04
